Split,Dialogue_ID,Utterance_ID,Speaker,Utterance,Emotion
train,Ses01F_impro02,Ses01F_impro02_F000,F,Did you get the mail? So you saw my letter?,sadness
train,Ses01F_impro02,Ses01F_impro02_F001,F,Yeah.  I know.,sadness
train,Ses01F_impro02,Ses01F_impro02_F002,F,I don't know.  I put in that. request too. They didn't...,sadness
train,Ses01F_impro02,Ses01F_impro02_F003,F,"I guess, you know, everybody has to make sacrifices.",neutral
train,Ses01F_impro02,Ses01F_impro02_F004,F,"There's people that have given more though, you know?",sadness
train,Ses01F_impro02,Ses01F_impro02_F005,F,I know.,sadness
train,Ses01F_impro02,Ses01F_impro02_F006,F,"There's babies over there, though, that need mothers.",neutral
train,Ses01F_impro02,Ses01F_impro02_F008,F,"Just, you know, kicking myself.",sadness
train,Ses01F_impro02,Ses01F_impro02_F010,F,things just aren't what they seem.,sadness
train,Ses01F_impro02,Ses01F_impro02_F012,F,"If not me then, who?",sadness
train,Ses01F_impro02,Ses01F_impro02_F013,F,"You'll videotape everything, yeah?",sadness
train,Ses01F_impro02,Ses01F_impro02_F014,F,"Maybe you can send it to me, like stream it, yeah?",sadness
train,Ses01F_impro02,Ses01F_impro02_F015,F,Last month--  Yeah.,sadness
train,Ses01F_impro02,Ses01F_impro02_F016,F,I have to find sitters.,neutral
train,Ses01F_impro02,Ses01F_impro02_F017,F,"We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",sadness
train,Ses01F_impro02,Ses01F_impro02_F018,F,And your mother is close by.,neutral
train,Ses01F_impro02,Ses01F_impro02_F019,F,I'll send you lots of letters.,sadness
train,Ses01F_impro02,Ses01F_impro02_F020,F,And I want lots and lots and lots of pictures.,sadness
train,Ses01F_impro02,Ses01F_impro02_M001,M,"I don't understand.  You've already done so much, I don't know why do you have to go back.",sadness
train,Ses01F_impro02,Ses01F_impro02_M003,M,I just don't see how they can make you leave when you have a new baby - we have a new kid.,anger
train,Ses01F_impro02,Ses01F_impro02_M005,M,I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.,sadness
train,Ses01F_impro02,Ses01F_impro02_M008,M,I know.,anger
train,Ses01F_impro02,Ses01F_impro02_M009,M,I just don't see why it has to be you.,sadness
train,Ses01F_impro02,Ses01F_impro02_M010,M,What am I going to do? Huh?,sadness
train,Ses01F_impro02,Ses01F_impro02_M011,M,Yeah.,sadness
train,Ses01F_impro02,Ses01F_impro02_M012,M,Don't you guys have access to computers over there.,neutral
train,Ses01F_impro02,Ses01F_impro02_M013,M,I just don't know how I'm going to do it without you.,sadness
train,Ses01F_impro02,Ses01F_impro02_M014,M,I can't raise a baby by myself.  How?,sadness
train,Ses01F_impro02,Ses01F_impro02_M015,M,I know.,neutral
train,Ses01F_impro02,Ses01F_impro02_M016,M,It's just not fair.,anger
train,Ses01F_impro03,Ses01F_impro03_F000,F,Well Vegas was awesome.,joy
train,Ses01F_impro03,Ses01F_impro03_F001,F,"And, um, I got married.",joy
train,Ses01F_impro03,Ses01F_impro03_F002,F,Yeah.  In the old town part.,joy
train,Ses01F_impro03,Ses01F_impro03_F004,F,Um- Yes.  It was very romantic.,joy
train,Ses01F_impro03,Ses01F_impro03_F005,F,It was at the slot machines.,joy
train,Ses01F_impro03,Ses01F_impro03_F006,F,"Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.",joy
train,Ses01F_impro03,Ses01F_impro03_F008,F,"Yeah.  Well.  You know, because he's leaving the next day.",joy
train,Ses01F_impro03,Ses01F_impro03_F009,F,But we're going to have a honeymoon cruise.,joy
train,Ses01F_impro03,Ses01F_impro03_F010,F,Oh.  I hadn't even thought about that.,joy
train,Ses01F_impro03,Ses01F_impro03_F012,F,Oh.  Totally.,joy
train,Ses01F_impro03,Ses01F_impro03_F013,F,I guess I'll-  I guess I'll have an internet husband.[LAUGHTER],joy
train,Ses01F_impro03,Ses01F_impro03_F015,F,"Yeah, so [LAUGHTER] He's calling me now",joy
train,Ses01F_impro03,Ses01F_impro03_F016,F,"He likes to keep tabs, you know.",joy
train,Ses01F_impro03,Ses01F_impro03_F017,F,"Uh, I think seven hundred and fifty dollars.",neutral
train,Ses01F_impro03,Ses01F_impro03_F018,F,Penny slots. That's what he plays.,neutral
train,Ses01F_impro03,Ses01F_impro03_F019,F,Yeah.,neutral
train,Ses01F_impro03,Ses01F_impro03_F021,F,Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-,joy
train,Ses01F_impro03,Ses01F_impro03_F022,F,Fifty bucks. Mmhmm.,neutral
train,Ses01F_impro03,Ses01F_impro03_F023,F,Yeah.,neutral
train,Ses01F_impro03,Ses01F_impro03_F024,F,Well so now we're married. We have cat children.,joy
train,Ses01F_impro03,Ses01F_impro03_F025,F,"We renamed Brenda, Lumber Janet.",joy
