Split,Dialogue_ID,Utterance_ID,Speaker,Utterance,Emotion,Original_Emotion
train,Ses01F_impro01,Ses01F_impro01_F000,F,Excuse me.,neutral,neutral
train,Ses01F_impro01,Ses01F_impro01_F001,F,Yeah.,neutral,neutral
train,Ses01F_impro01,Ses01F_impro01_F002,F,Is there a problem?,neutral,neutral
train,Ses01F_impro01,Ses01F_impro01_F005,F,Well what's the problem?  Let me change it.,neutral,neutral
train,Ses01F_impro01,Ses01F_impro01_F006,F,What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.,anger,frustration
train,Ses01F_impro01,Ses01F_impro01_F007,F,How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?,anger,frustration
train,Ses01F_impro01,Ses01F_impro01_F008,F,I'm here to get an ID.,anger,frustration
train,Ses01F_impro01,Ses01F_impro01_F009,F,Like what?  Like a birth certificate?,anger,frustration
train,Ses01F_impro01,Ses01F_impro01_F011,F,"Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?",anger,frustration
train,Ses01F_impro01,Ses01F_impro01_F012,F,That's out of control.,anger,anger
train,Ses01F_impro01,Ses01F_impro01_F013,F,How long have you been working here?,anger,frustration
train,Ses01F_impro01,Ses01F_impro01_F014,F,"Clearly.  You know, do you have like a supervisor or something?",neutral,neutral
train,Ses01F_impro01,Ses01F_impro01_F015,F,That would - I would appreciate that.  Yeah.,anger,frustration
train,Ses01F_impro01,Ses01F_impro01_M000,M,Do you have your forms?,anger,frustration
train,Ses01F_impro01,Ses01F_impro01_M001,M,Let me see them.,anger,frustration
train,Ses01F_impro01,Ses01F_impro01_M002,M,Who told you to get in this line?,anger,frustration
train,Ses01F_impro01,Ses01F_impro01_M003,M,Okay. But I didn't tell you to get in this line if you are filling out this particular form.,anger,frustration
train,Ses01F_impro01,Ses01F_impro01_M004,M,This form is a Z.X.four.,anger,frustration
train,Ses01F_impro01,Ses01F_impro01_M005,M,"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.",anger,frustration
train,Ses01F_impro01,Ses01F_impro01_M006,M,No. I need another set of ID to prove this is actually you.,anger,frustration
train,Ses01F_impro01,Ses01F_impro01_M007,M,I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.,anger,frustration
train,Ses01F_impro01,Ses01F_impro01_M008,M,"No.  I need another ID, a separate one.",anger,frustration
train,Ses01F_impro01,Ses01F_impro01_M009,M,"A birth certificate, a passport...a student ID; didn't you go to school?  Anything?",anger,frustration
train,Ses01F_impro01,Ses01F_impro01_M010,M,"Yeah.  We keep it on file, but we need an ID to access that file.",anger,frustration
train,Ses01F_impro01,Ses01F_impro01_M011,M,I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,anger,anger
train,Ses01F_impro01,Ses01F_impro01_M013,M,Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,anger,anger
train,Ses01F_impro02,Ses01F_impro02_F000,F,Did you get the mail? So you saw my letter?,sadness,sadness
train,Ses01F_impro02,Ses01F_impro02_F001,F,Yeah.  I know.,sadness,sadness
train,Ses01F_impro02,Ses01F_impro02_F002,F,I don't know.  I put in that. request too. They didn't...,sadness,sadness
train,Ses01F_impro02,Ses01F_impro02_F003,F,"I guess, you know, everybody has to make sacrifices.",neutral,neutral
train,Ses01F_impro02,Ses01F_impro02_F004,F,"There's people that have given more though, you know?",sadness,sadness
train,Ses01F_impro02,Ses01F_impro02_F005,F,I know.,sadness,sadness
